JTA,08:21:37,25.15
JGT,08:21:38,18.25
JHI,08:21:39,20.21
JKH,08:21:40,100.56
JGT,08:21:41,15.53
JKD,08:21:42,81.18
JLL,08:21:43,79.85
JTX,08:21:44,27.99
JOE,08:21:45,86.32
JZS,08:21:46,24.37
JCG,08:21:47,38.78
JKH,08:21:48,86.34
JHX,08:21:49,38.36
JKD,08:21:50,77.43
JCI,08:21:51,107.28
JKE,08:21:52,65.1
JSN,08:21:53,18.43
JXI,08:21:54,47.6
JNS,08:21:55,30.4
JFC,08:21:56,34.2
JOE,08:21:57,69.71
JCG,08:21:58,42.13
JCI,08:21:59,109.4
JKK,08:22:00,74.5
JYN,08:22:01,65.61
JGT,08:22:02,15.3
JKG,08:22:03,86.63
JCP,08:22:04,62.55
JHX,08:22:05,32.17
JCG,08:22:06,33
JPC,08:22:07,14.73
JHP,08:22:08,15.7
JYN,08:22:09,54.33
JGT,08:22:10,16.62
JSM,08:22:11,24.64
JTA,08:22:12,21.65
JKH,08:22:13,87.38
JTA,08:22:15,22.09
JKI,08:22:16,76.95
JTP,08:22:17,15.4
JPM,08:22:18,111.87
JNS,08:22:19,43.75
JLL,08:22:20,81.86
JCG,08:22:21,34.76
JEF,08:22:22,67.87
JZS,08:22:23,24.67
JEC,08:22:24,81.2
JCI,08:22:25,112.62
JPZ,08:22:26,20.09
JKH,08:22:27,81.76
JGT,08:22:28,18.57
JTA,08:22:29,20.55
JZL,08:22:30,24.72
JLA,08:22:31,18.41
JPC,08:22:32,15.46
JAS,08:22:33,26.7
JBR,08:22:34,22.5
JAS,08:22:35,27.21
JWF,08:22:36,22.86
JEQ,08:22:37,15.54
JAH,08:22:38,38.98
JHX,08:22:39,37.63
JFP,08:22:40,12.58
JKI,08:22:41,75.3
JKE,08:22:42,69.04
JOE,08:22:43,81.29
JWN,08:22:44,61
JKD,08:22:45,79.23
JAG,08:22:46,9.8
JLL,08:22:47,84
JRN,08:22:48,20
JCP,08:22:49,64.53
JZL,08:22:50,25.6
JKE,08:22:51,69.85
JBN,08:22:52,16.42
JKE,08:22:53,63.56
JKI,08:22:54,95.53
JKH,08:22:55,95.73
JGV,08:22:56,18.85
JEF,08:22:57,48.88
JTD,08:22:58,16.2
JSM,08:22:59,24.49
JZV,08:23:00,25.74
JAG,08:23:01,7.46
JBR,08:23:02,22.67
