98660	O'Brien Men's Neoprene Life Vest	Fishing	45	49.98	2	12080
97749	O'Brien Men's Neoprene Life Vest	Fishing	45	49.98	2	12279
103889	Under Armour Women's Ignite Slide	Boxing & MMA	12	31.99	4	3343
22751	O'Brien Men's Neoprene Life Vest	Fishing	45	49.98	5	12382
129001	Pelican Sunstream 100 Kayak	Boating	47	199.99	1	5032
165110	Nike Men's CJ Elite 2 TD Football Cleat	Cleats	17	129.99	1	2663
140220	Diamondback Women's Serene Classic Comfort Bi	Bike & Skate Shop	42	299.98	1	702
77426	Field & Stream Sportsman 16 Gun Fire Safe	Hunting & Shooting	44	399.98	1	3959
101870	Perfect Fitness Perfect Rip Deck	As Seen on  TV!	16	59.99	4	1836
131685	Nike Men's CJ Elite 2 TD Football Cleat	Cleats	17	129.99	1	5212
164177	Pelican Sunstream 100 Kayak	Boating	47	199.99	1	4037
78983	Nike Men's CJ Elite 2 TD Football Cleat	Cleats	17	129.99	1	7528
84894	Diamondback Women's Serene Classic Comfort Bi	Bike & Skate Shop	42	299.98	1	5658
170683	Nike Men's CJ Elite 2 TD Football Cleat	Cleats	17	129.99	1	6888
22083	Nike Men's Dri-FIT Victory Golf Polo	Men's Apparel	23	50	3	7946
76014	O'Brien Men's Neoprene Life Vest	Fishing	45	49.98	1	10667
79165	O'Brien Men's Neoprene Life Vest	Fishing	45	49.98	5	9976
44574	Nike Men's Dri-FIT Victory Golf Polo	Men's Apparel	23	50	1	4798
102807	Diamondback Women's Serene Classic Comfort Bi	Bike & Skate Shop	42	299.98	1	9356
125420	Under Armour Girls' Toddler Spine Surge Runni	Top Brands	28	39.99	1	8284
134324	Diamondback Women's Serene Classic Comfort Bi	Bike & Skate Shop	42	299.98	1	8651
90424	Under Armour Girls' Toddler Spine Surge Runni	Top Brands	28	39.99	3	7110
27476	Field & Stream Sportsman 16 Gun Fire Safe	Hunting & Shooting	44	399.98	1	12072
98533	Pelican Sunstream 100 Kayak	Boating	47	199.99	1	517
87449	Nike Men's CJ Elite 2 TD Football Cleat	Cleats	17	129.99	1	8196
